,movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross,year
564,Star Wars Ep. VII: The Force Awakens,2015-12-18,Adventure,PG-13,936662225,936662225,2015
565,The Finest Hours,2016-01-29,Thriller/Suspense,PG,27569558,27569558,2016
566,Zootopia,2016-03-04,Adventure,PG,341268248,341268248,2016
567,The Jungle Book,2016-04-15,Adventure,PG,364001123,364001123,2016
568,A Beautiful Planet,2016-04-29,Documentary,G,7895708,7895708,2016
569,Captain America: Civil War,2016-05-06,Action,PG-13,408084349,408084349,2016
570,Alice Through the Looking Glass,2016-05-27,Adventure,PG,77042381,77042381,2016
571,Finding Dory,2016-06-17,Adventure,PG,486295561,486295561,2016
572,The BFG,2016-07-01,Adventure,PG,55483770,55483770,2016
573,Pete’s Dragon,2016-08-12,Adventure,PG,76233151,76233151,2016
574,The Light Between Oceans,2016-09-02,Drama,PG-13,12545979,12545979,2016
575,Queen of Katwe,2016-09-23,Drama,PG,8874389,8874389,2016
576,Doctor Strange,2016-11-04,Adventure,PG-13,232532923,232532923,2016
577,Moana,2016-11-23,Adventure,PG,246082029,246082029,2016
578,Rogue One: A Star Wars Story,2016-12-16,Adventure,PG-13,529483936,529483936,2016
